Code;Libellé;"09.06.2024 : Initiative d’allègement des primes - Proportion de ""oui"""
1;Aeugst am Albis;29.2
10;Obfelden;36.5
100;Stadel;32
1001;Doppleschwand;24.avr
1002;Entlebuch;19.janv
1004;Flühli;24.mars
1005;Hasle (LU);27.mai
1007;Romoos;33.9
1008;Schüpfheim;24.août
1009;Werthenstein;29.mai
101;Steinmaur;33.6
1010;Escholzmatt-Marbach;25.août
102;Weiach;34.7
1021;Aesch (LU);26.avr
1023;Ballwil;27.mars
1024;Emmen;39.6
1025;Ermensee;31.4
1026;Eschenbach (LU);31.2
1030;Hitzkirch;29.sept
1031;Hochdorf;29.mai
1032;Hohenrain;25
1033;Inwil;28.mars
1037;Rain;19.sept
1039;Römerswil;29.2
1040;Rothenburg;31.mai
1041;Schongau;27.mai
1051;Adligenswil;30.avr
1052;Buchrain;29.mai
1053;Dierikon;36.4
1054;Ebikon;36.2
1055;Gisikon;30.janv
1056;Greppen;28.juin
1057;Honau;30.avr
1058;Horw;32.1
1059;Kriens;39.1
1061;Luzern;43.6
1062;Malters;30.2
1063;Meggen;23.sept
1064;Meierskappel;22.août
1065;Root;32.4
1066;Schwarzenberg;21.févr
1067;Udligenswil;28.avr
1068;Vitznau;36.9
1069;Weggis;28.avr
1081;Beromünster;27.janv
1082;Büron;29.sept
1083;Buttisholz;26.juin
1084;Eich;21.mai
1085;Geuensee;35.5
1086;Grosswangen;25.mars
1088;Hildisrieden;23.mai
1089;Knutwil;25.sept
1091;Mauensee;33.5
1093;Neuenkirch;31.août
1094;Nottwil;27.mai
1095;Oberkirch;26.sept
1097;Rickenbach (LU);31.mai
1098;Ruswil;26.juin
1099;Schenkon;21
11;Ottenbach;33.2
1100;Schlierbach;26.févr
1102;Sempach;24.mai
1103;Sursee;34.3
1104;Triengen;29.janv
1107;Wolhusen;30
111;Bäretswil;32.1
112;Bubikon;33.8
1121;Alberswil;35.2
1122;Altbüron;31
1123;Altishofen;25.juil
1125;Dagmersellen;28.févr
1127;Egolzwil;25.avr
1128;Ettiswil;29.mai
1129;Fischbach;24.juil
113;Dürnten;35.8
1131;Grossdietwil;33
1132;Hergiswil bei Willisau;25.juin
1135;Luthern;29.janv
1136;Menznau;25.févr
1137;Nebikon;29.janv
1139;Pfaffnau;34
114;Fischenthal;35.6
1140;Reiden;34.3
1142;Roggliswil;34.7
1143;Schötz;28.févr
1145;Ufhusen;30.sept
1146;Wauwil;31.juil
1147;Wikon;35
115;Gossau (ZH);30.juil
1150;Zell (LU);31.août
1151;Willisau;30.juin
116;Grüningen;36
117;Hinwil;35.8
118;Rüti (ZH);40.4
119;Seegräben;31.juil
12;Rifferswil;56.6
120;Wald (ZH);41.6
1201;Altdorf (UR);27.juil
1202;Andermatt;29.2
1203;Attinghausen;27.sept
1205;Bürglen (UR);27.sept
1206;Erstfeld;39.1
1207;Flüelen;29.juil
1208;Göschenen;35.7
1209;Gurtnellen;31.4
121;Wetzikon (ZH);39.9
1210;Hospental;31
1211;Isenthal;33.3
1212;Realp;34.3
1213;Schattdorf;29.sept
1214;Seedorf (UR);27.févr
1215;Seelisberg;29.juin
1216;Silenen;33.2
1217;Sisikon;32.2
1218;Spiringen;23.août
1219;Unterschächen;20
1220;Wassen;41.8
13;Stallikon;31.juil
1301;Einsiedeln;26.août
131;Adliswil;38.6
1311;Gersau;31
1321;Feusisberg;21.févr
1322;Freienbach;25.avr
1323;Wollerau;19
1331;Küssnacht (SZ);26.janv
1341;Altendorf;23.sept
1342;Galgenen;30.juin
1343;Innerthal;38.8
1344;Lachen;29.juin
1345;Reichenburg;35.6
1346;Schübelbach;34.2
1347;Tuggen;29.mars
1348;Vorderthal;32.4
1349;Wangen (SZ);31.9
135;Kilchberg (ZH);23.janv
136;Langnau am Albis;30.mai
1361;Alpthal;23.mai
1362;Arth;30.2
1363;Illgau;24
1364;Ingenbohl;31.janv
1365;Lauerz;29.mars
1366;Morschach;31.mai
1367;Muotathal;24.janv
1368;Oberiberg;24.févr
1369;Riemenstalden;29.2
137;Oberrieden;31.2
1370;Rothenthurm;21.août
1371;Sattel;23
1372;Schwyz;30.août
1373;Steinen;30.août
1374;Steinerberg;26.mai
1375;Unteriberg;25.avr
138;Richterswil;33.5
139;Rüschlikon;24.mars
14;Wettswil am Albis;24.févr
1401;Alpnach;25.mai
1402;Engelberg;24.janv
1403;Giswil;27.mars
1404;Kerns;23.août
1405;Lungern;18
1406;Sachseln;21.août
1407;Sarnen;23.mars
141;Thalwil;31.mai
1501;Beckenried;25.févr
1502;Buochs;25
1503;Dallenwil;26.juin
1504;Emmetten;31.août
1505;Ennetbürgen;22.juin
1506;Ennetmoos;27.mai
1507;Hergiswil (NW);19.août
1508;Oberdorf (NW);26.févr
1509;Stans;31.janv
151;Erlenbach (ZH);22.mars
1510;Stansstad;27.févr
1511;Wolfenschiessen;24.janv
152;Herrliberg;20.juil
153;Hombrechtikon;36.1
154;Küsnacht (ZH);22.mars
155;Männedorf;31.9
156;Meilen;25.avr
157;Oetwil am See;38.9
158;Stäfa;33.5
159;Uetikon am See;30.juin
160;Zumikon;20.janv
161;Zollikon;23.sept
1630;Glarus Nord;34.3
1631;Glarus Süd;37.8
1632;Glarus;37.1
1701;Baar;29.janv
1702;Cham;29
1703;Hünenberg;24.mars
1704;Menzingen;26.févr
1705;Neuheim;22.sept
1706;Oberägeri;24.janv
1707;Risch;25.juil
1708;Steinhausen;29.avr
1709;Unterägeri;27.sept
1710;Walchwil;22.janv
1711;Zug;28.août
172;Fehraltorf;32.9
173;Hittnau;35.3
176;Lindau;31.9
177;Pfäffikon;35.7
178;Russikon;28.févr
180;Weisslingen;29.mars
181;Wila;37.7
182;Wildberg;27.sept
191;Dübendorf;37.3
192;Egg;34.4
193;Fällanden;34.3
194;Greifensee;38.4
195;Maur;27.mars
196;Mönchaltorf;36.3
197;Schwerzenbach;31.juil
198;Uster;38.6
199;Volketswil;35.7
2;Affoltern am Albis;35.2
200;Wangen-Brüttisellen;30.mars
2008;Châtillon (FR);59.8
2011;Cugy (FR);55.2
2016;Fétigny;61.3
2022;Gletterens;62.5
2025;Lully (FR);63.4
2027;Ménières;54.4
